,Mini_trip,SOC_drop (%),Relative_SOC_drop (%),Driver Type,Terrain,Method,Battery_type
0,1,-1.714186707407667,62.38790237838313,1,1,1,5
1,2,-2.191082386779,79.7445420960517,1,1,1,5
2,3,-1.9415621995622776,70.66324365041474,1,1,1,5
3,4,-2.0526807823912034,74.70740947435766,1,1,1,5
4,5,-1.6268703648246845,59.21002015962371,1,2,1,5
5,6,-2.07874380535445,75.65597436830411,1,2,1,5
6,7,-1.8426100523593891,67.06187579874057,1,2,1,5
7,8,-1.9785328818755363,72.00879329740152,1,2,1,5
8,9,-1.7200502825766941,62.60130746060244,1,3,1,5
9,10,-2.2219909368107134,80.86946016577123,1,3,1,5
10,11,-1.9583122182592778,71.27286133487625,1,3,1,5
11,12,-2.082019462984259,75.77519207519124,1,3,1,5
12,13,-2.2790507245804625,82.94615371013656,1,1,1,6
13,14,-2.164925129618472,78.79254754425334,1,1,1,6
14,15,-2.0812817277845186,75.74834216938832,1,1,1,6
15,16,-2.1509217792977595,78.28289497898517,1,1,1,6
16,17,-2.142365038155945,77.97147199995626,1,2,1,6
17,18,-2.0211166505109164,73.55863147374897,1,2,1,6
18,19,-1.9757948136199996,71.90914117999006,1,2,1,6
19,20,-1.991245326884306,72.47146330573281,1,2,1,6
20,21,-2.2811845588444455,83.02381470422648,1,3,1,6
21,22,-2.162201822497148,78.69343265898598,1,3,1,6
22,23,-2.0839718246976755,75.8462483676345,1,3,1,6
23,24,-2.1684081729755458,78.91931306401949,1,3,1,6
24,25,-2.079714658192641,75.69130860105197,2,1,1,5
25,26,-2.306693776131306,83.9522238156519,2,1,1,5
26,27,-2.1821361481087975,79.41894333694431,2,1,1,5
27,28,-2.2506479674232227,81.91243408487908,2,1,1,5
28,29,-1.994926878580142,72.60545354542387,2,2,1,6
29,30,-2.1163840992630556,77.02589455944539,2,2,1,6
30,31,-2.0452191489561664,74.43584298961203,2,2,1,6
31,32,-2.0619377637371206,75.04431772713542,2,2,1,6
32,33,-2.086437441801174,75.93598461310344,2,3,1,7
33,34,-2.3076074234271564,83.98547605011123,2,3,1,7
34,35,-2.190039949124195,79.70660253068085,2,3,1,7
35,36,-2.2419603819249083,81.59624901960557,2,3,1,7
36,37,-2.336508536140546,85.03733334826772,2,1,1,7
37,38,-2.2183317886417213,80.73628530344811,2,1,1,7
38,39,-2.231878774469481,81.2293284624525,2,1,1,7
39,40,-2.3125281776534075,84.16456712167812,2,1,1,7
40,41,-2.1811623583757043,79.38350221577429,2,2,1,7
41,42,-2.112196984996556,76.87350434723766,2,2,1,7
42,43,-2.100202791173343,76.43697512313604,2,2,1,7
43,44,-2.146612485030528,78.12605802015099,2,2,1,7
44,45,-2.343972961512102,85.30900144566861,2,3,1,7
45,46,-2.2070874034203882,80.32704539716372,2,3,1,7
46,47,-2.1882793209286757,79.64252438825213,2,3,1,7
47,48,-2.242737652586259,81.62453782031342,2,3,1,7
48,49,-1.7049271304337321,62.05089965760682,1,1,2,5
49,50,-2.1853715558543514,79.53669614748216,1,1,2,5
50,51,-1.929475525121778,70.22334859008403,1,1,2,5
51,52,-2.077064856014,75.59486893148232,1,1,2,5
52,53,-1.6333807951245192,59.44696756344625,1,2,2,6
53,54,-2.0744656628349354,75.50027117873037,1,2,2,6
54,55,-1.8389082202516203,66.9271474525443,1,2,2,6
55,56,-1.9583167932299999,71.27302784114161,1,2,2,6
56,57,-1.7245861845147588,62.766391815817066,1,3,2,7
57,58,-2.2174145327005474,80.7029017321798,1,3,2,7
58,59,-1.9549175233746565,71.1493112617419,1,3,2,7
59,60,-2.0543972226873706,74.7698793962004,1,3,2,7
60,61,-2.2786459197171673,82.93142081891507,1,1,2,5
61,62,-2.1722342319217227,79.05856265159156,1,1,2,5
62,63,-2.0834946679006388,75.82888222452765,1,1,2,5
63,64,-2.1646123354520372,78.78116338648584,1,1,2,5
64,65,-2.1105885516920737,76.81496534471913,1,2,2,6
65,66,-2.022981180562037,73.62649112888934,1,2,2,6
66,67,-1.9528350038735183,71.07351787075558,1,2,2,6
67,68,-1.9884535072510094,72.3698549045082,1,2,2,6
68,69,-2.2974311857059626,83.61511142017592,1,3,2,7
69,70,-2.1913902665875087,79.75574739554125,1,3,2,7
70,71,-2.0866278355184344,75.94291400101352,1,3,2,7
71,72,-2.1655183439157217,78.81413760530464,1,3,2,7
72,73,-2.0937219118013375,76.20110322666203,2,1,2,5
73,74,-2.302612368374074,83.80368079660722,2,1,2,5
74,75,-2.1795536810157525,79.32495433084594,2,1,2,5
75,76,-2.2592671109071194,82.22612819995703,2,1,2,5
76,77,-2.0281389200388036,73.81420728931639,2,2,2,6
77,78,-2.112696163637426,76.89167197634211,2,2,2,6
78,79,-2.0560044905753614,74.82837598333325,2,2,2,6
79,80,-2.0565759154535272,74.84917301749618,2,2,2,6
80,81,-2.0818278952578835,75.76821995916659,2,3,2,7
81,82,-2.317552109241834,84.34741333798581,2,3,2,7
82,83,-2.1983556664575006,80.00925343734963,2,3,2,7
83,84,-2.2384327983225263,81.46786245560646,2,3,2,7
84,85,-2.3411994452607776,85.20805919685482,2,1,2,5
85,86,-2.2053582970884724,80.26411449437978,2,1,2,5
86,87,-2.1920856003940004,79.78105410072823,2,1,2,5
87,88,-2.3058678932030463,83.92216576930164,2,1,2,5
88,89,-2.183469978150111,79.46748814133883,2,2,2,6
89,90,-2.0998433110207495,76.42389182680076,2,2,2,6
90,91,-2.104098024360963,76.57874231033921,2,2,2,6
91,92,-2.1467159689348607,78.1298243215074,2,2,2,6
92,93,-2.3511254465593883,85.56931646092607,2,3,2,7
93,94,-2.222723861413944,80.89613498969761,2,3,2,7
94,95,-2.2126589987419067,80.5298238596898,2,3,2,7
95,96,-2.3156550204048703,84.2783687043691,2,3,2,7
